County,2014 Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,2022 Cases,2023 Cases
Johnson,0,2,5,1,0,0,0,0,0,0
Jones,0,0,0,0,0,0,0,0,0,0
Karnes,0,0,0,1,0,0,0,0,0,0
Kaufman,0,2,0,0,0,0,0,0,0,0
Kendall,0,0,0,0,0,0,0,1,0,0
Kenedy,0,0,0,0,0,0,0,0,0,0
Kent,0,0,0,0,0,0,0,0,0,0
Kerr,0,0,0,0,0,0,0,0,0,0
Kimble,0,0,0,0,0,0,0,0,0,0
King,0,0,0,0,0,0,0,0,0,0
Kinney,0,0,0,0,0,0,0,0,0,0
Kleberg,0,1,0,0,0,0,0,0,0,0
Knox,0,0,1,0,0,0,0,0,0,0
Lamar,0,0,2,0,0,0,0,0,0,0
Lamb,2,0,0,0,0,1,0,0,0,0
Lampasas,0,0,0,0,0,0,0,0,0,0
La Salle,0,0,0,0,0,0,0,0,0,0
Lavaca,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0
Leon,1,0,0,0,0,0,0,0,0,0
Liberty,5,12,2,0,0,0,0,0,0,0
Limestone,0,0,1,1,0,0,0,0,0,0
Lipscomb,1,0,0,0,0,0,0,0,0,0
Live Oak,0,0,0,0,0,0,0,0,0,0
Llano,0,0,0,0,0,0,0,0,0,0
Loving,0,0,0,0,0,0,0,0,0,0
Lubbock,7,0,1,2,4,1,0,4,0,1
Lynn,0,0,0,0,0,1,0,0,0,2
Madison,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0
Martin,1,1,0,0,0,0,0,0,0,0
Mason,0,0,0,0,0,0,0,0,0,0
Matagorda,0,1,1,0,0,0,0,0,0,0
Maverick,0,0,0,0,0,0,0,0,0,0
McCulloh,0,0,0,0,0,0,0,0,0,0
McLennan,1,0,7,0,0,0,1,0,0,0
McMullen,0,0,0,0,0,0,0,0,0,0
Medina,0,0,0,0,0,0,0,0,0,0
Menard,0,0,0,0,0,0,0,0,0,0
Midland,2,0,0,0,0,1,0,0,0,0
Milam,0,0,0,0,0,0,0,0,0,0
Mills,0,0,0,0,0,0,0,0,0,0
Mitchell,0,0,0,0,0,0,0,0,0,0
Montague,0,0,0,0,0,0,0,0,0,0
Montgomery,32,15,10,2,11,0,5,2,12,4
Moore,1,2,0,0,0,0,0,0,0,0
Morris,0,0,0,0,0,0,0,0,0,0
Motley,0,1,0,0,0,0,0,0,0,0
Nacogdoches,0,1,2,0,0,0,0,0,0,0
Navarro,2,0,5,0,1,0,0,0,0,0
Newton,0,1,1,0,0,0,0,0,0,0
Nolan,0,0,0,0,0,1,0,0,0,0
Nueces,2,0,5,1,0,0,0,1,0,0
